,Date,Open,Low,High,Close,Volume
5150,2020-04-22,278.35,276.91,281.0,279.1,92831657.0
5151,2020-04-23,280.49,278.75,283.94,279.08,103685412.0
5152,2020-04-24,280.73,278.5,283.7,282.97,85042563.0
5153,2020-04-27,285.12,284.62,288.27,287.05,77516422.0
5154,2020-04-28,291.02,285.4,291.4,285.73,104797847.0
5155,2020-04-29,291.53,290.41,294.88,293.21,118066585.0
5156,2020-04-30,291.71,288.59,293.32,290.48,121537052.0
5157,2020-05-01,285.31,281.52,290.66,282.79,125045778.0
5158,2020-05-04,280.74,279.13,283.9,283.57,80462952.0
5159,2020-05-05,286.64,283.71,289.25,286.19,79199214.0
5160,2020-05-06,288.04,283.78,288.46,284.25,72980387.0
5161,2020-05-07,287.75,287.13,289.78,287.68,74788296.0
5162,2020-05-08,291.09,289.86,292.95,292.44,76446082.0
5163,2020-05-11,290.34,289.88,294.0,292.5,78982891.0
5164,2020-05-12,293.79,286.52,294.24,286.67,94484342.0
5165,2020-05-13,286.06,278.96,287.19,281.6,144035915.0
5166,2020-05-14,278.95,272.99,285.11,284.97,121473094.0
5167,2020-05-15,282.37,281.34,286.33,286.28,111015834.0
5168,2020-05-18,293.05,292.7,296.75,295.0,119719465.0
5169,2020-05-19,294.35,291.95,296.21,291.97,94317356.0
5170,2020-05-20,295.82,295.57,297.87,296.93,85279592.0
5171,2020-05-21,296.79,293.69,297.67,294.88,77863922.0
5172,2020-05-22,294.57,293.22,295.63,295.44,63697627.0
5173,2020-05-26,301.93,295.46,302.19,299.08,88604807.0
5174,2020-05-27,302.12,296.87,303.57,303.53,104086252.0
5175,2020-05-28,304.65,302.24,306.84,302.97,90232213.0
5176,2020-05-29,302.46,299.47,304.96,304.32,119067393.0
5177,2020-06-01,303.62,303.06,306.21,305.55,55696013.0
5178,2020-06-02,306.55,305.1,308.13,308.08,73635043.0
5179,2020-06-03,310.24,309.94,313.22,312.18,91750087.0
5180,2020-06-04,311.11,309.08,313.0,311.36,75471787.0
5181,2020-06-05,317.23,317.16,321.27,319.34,150302461.0
5182,2020-06-08,320.22,319.63,323.41,323.2,73310274.0
5183,2020-06-09,320.3,319.36,323.28,320.79,77174695.0
5184,2020-06-10,321.42,318.22,322.39,319.0,93944722.0
5185,2020-06-11,311.46,300.01,312.15,300.61,208285190.0
5186,2020-06-12,308.24,298.6,309.08,304.21,194450402.0
5187,2020-06-15,298.02,296.74,308.28,307.05,134968796.0
5188,2020-06-16,315.48,307.67,315.64,312.96,137048347.0
5189,2020-06-17,314.07,310.86,314.39,311.66,82814592.0
5190,2020-06-18,310.01,309.51,312.3,311.78,80355844.0
5191,2020-06-19,314.17,306.53,314.38,308.64,135211345.0
5192,2020-06-22,307.99,306.75,311.05,310.62,74007212.0
5193,2020-06-23,313.49,311.61,314.5,312.05,68066900.0
5194,2020-06-24,309.84,302.1,310.51,304.09,132067392.0
